               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.023855,            0.008488,          0.00088703,             0.93332,             0.83321,             0.86086,             0.48641,            0.026077,           0.0055897,           0.0011016,           0.0020375,           0.0020375,           0.0020375
                  81,            0.023693,            0.008786,          0.00085082,             0.90322,             0.83523,             0.85386,             0.48159,            0.026669,           0.0055924,           0.0011448,               0.002,               0.002,               0.002
                  82,            0.023712,           0.0085531,           0.0007493,             0.93122,             0.83201,              0.8641,             0.50045,            0.026125,           0.0057422,          0.00092209,           0.0019625,           0.0019625,           0.0019625
                  83,            0.023669,            0.008557,           0.0006716,             0.93629,             0.83649,             0.85997,             0.50742,            0.026061,            0.005643,          0.00093647,            0.001925,            0.001925,            0.001925
                  84,            0.023686,           0.0084981,          0.00088604,             0.92717,             0.83861,             0.86343,             0.49023,            0.026201,           0.0056073,          0.00097475,           0.0018875,           0.0018875,           0.0018875
                  85,             0.02342,           0.0086223,          0.00075938,             0.93998,             0.82181,             0.86605,             0.50494,            0.025665,           0.0056802,          0.00098978,             0.00185,             0.00185,             0.00185
                  86,            0.023619,            0.008345,          0.00064369,             0.91891,             0.83455,             0.86084,             0.50774,            0.025629,           0.0055768,            0.001101,           0.0018125,           0.0018125,           0.0018125
                  87,            0.022866,           0.0083861,          0.00081847,             0.90473,              0.8406,             0.86984,             0.50994,             0.02542,           0.0056313,           0.0010765,            0.001775,            0.001775,            0.001775
                  88,            0.022919,           0.0081988,          0.00057052,             0.93639,             0.82463,              0.8675,             0.51166,            0.026008,           0.0056029,           0.0009168,           0.0017375,           0.0017375,           0.0017375
                  89,             0.02286,           0.0083255,          0.00059468,              0.9524,             0.82012,               0.869,             0.50084,            0.025855,           0.0056597,           0.0010178,              0.0017,              0.0017,              0.0017
                  90,            0.023277,           0.0083607,          0.00075401,             0.93237,             0.83275,             0.86707,             0.51158,            0.025659,           0.0056739,           0.0012615,           0.0016625,           0.0016625,           0.0016625
                  91,            0.022678,            0.008229,          0.00069658,             0.93422,             0.83592,             0.86549,             0.51439,            0.025117,            0.005565,          0.00089486,            0.001625,            0.001625,            0.001625
                  92,            0.022443,           0.0083634,          0.00070309,             0.94425,              0.8257,             0.87502,             0.50993,            0.025531,           0.0056145,          0.00093646,           0.0015875,           0.0015875,           0.0015875
                  93,            0.022609,           0.0084923,          0.00068583,             0.92672,             0.83076,             0.87163,             0.51636,            0.024903,           0.0054564,          0.00091357,             0.00155,             0.00155,             0.00155
                  94,            0.022201,            0.008242,          0.00064902,              0.9415,             0.83598,             0.87958,             0.52241,            0.025383,           0.0055182,           0.0009505,           0.0015125,           0.0015125,           0.0015125
                  95,            0.022315,           0.0082863,          0.00062353,             0.92751,              0.8282,             0.86112,             0.51388,            0.025361,           0.0056987,          0.00087361,            0.001475,            0.001475,            0.001475
                  96,            0.022345,           0.0084955,          0.00071216,             0.93901,             0.82449,             0.86892,             0.49525,            0.026042,           0.0056341,          0.00098516,           0.0014375,           0.0014375,           0.0014375
                  97,            0.022303,           0.0079825,          0.00063851,             0.92601,             0.83512,             0.87253,             0.51199,            0.025402,           0.0055201,          0.00092136,              0.0014,              0.0014,              0.0014
                  98,            0.022096,           0.0081427,          0.00070261,             0.93334,             0.83849,             0.87478,              0.5214,            0.025004,           0.0054301,          0.00089907,           0.0013625,           0.0013625,           0.0013625
                  99,            0.021781,           0.0081637,          0.00054093,             0.91486,             0.84739,               0.877,             0.53191,            0.024971,           0.0054313,          0.00089452,            0.001325,            0.001325,            0.001325
